drug	target	relation
DB00818	GABRB3	1
DB00139	ALDH5A1	-1
DB01142	ADRA1B	-1
DB04846	ADRB2	1
DB09238	CACNA1S	-1
DB00934	CHRM5	-1
DB00935	ADRA1A	1
DB00241	GABRG2	1
DB01001	ADRB2	1
DB00842	GABRA1	1
DB08995	AHR	1
DB00714	DRD1	1
DB00489	ADRB1	-1
DB09068	HTR1B	1
DB00508	DRD1	-1
DB00363	CHRM1	-1
DB01156	HTR3A	-1
DB00285	SLC6A3	-1
DB01175	ADRA2C	-1
DB01409	CHRM3	-1
DB01209	OPRK1	-1
DB01098	HMGCR	-1
DB00321	NTRK2	1
DB00211	ADRA1A	1
DB01069	CHRM4	-1
DB13746	CACNA1S	-1
DB11156	CHRM1	-1
DB00988	DRD3	1
DB00925	ADRA1A	-1
DB12010	PRKAG3	-1
DB00555	OPRK1	-1
DB00248	DRD1	1
DB01267	DRD3	-1
DB09016	HRH1	-1
DB01577	ADRA2A	1
DB11986	NTRK2	-1
DB01365	ADRB3	1
DB06694	ADRA2B	1
DB00483	CHRM2	-1
DB00421	NR3C1	-1
DB01396	ATP1A1	-1
DB00795	PPARG	1
DB13961	SCN5A	-1
DB00246	CHRM2	-1
DB01136	ADRA2C	-1
DB04855	ADRB1	-1
DB11994	ALOX5	-1
DB09167	SLC6A2	-1
DB00312	GRIN3A	-1
DB01589	GABRA2	1
DB11587	ADRB2	1
DB00543	HTR2C	-1
DB00656	ADRA1A	-1
DB00041	IL2RB	1
DB00599	GABRA1	1
DB00028	FCGR3B	-1
DB06216	DRD3	-1
DB00424	CHRM2	-1
DB12010	BMPR2	-1
DB00540	CHRM1	-1
DB06702	CHRM1	-1
DB01404	IL6	-1
DB06616	ABL1	-1
DB00591	ANXA2	1
DB06403	EDNRA	-1
DB00947	ESR1	-1
DB00564	SCN2A	-1
DB01033	IMPDH2	-1
DB11760	PARP2	-1
DB00630	ATP6V1A	-1
DB09195	HRH1	-1
DB00777	HTR2A	-1
DB09128	ADRA1B	-1
DB00261	PDE3A	-1
DB01586	AKR1C2	1
DB12010	ERBB4	-1
DB01452	OPRK1	1
DB06594	MTNR1B	1
DB00734	DRD4	-1
DB00281	EGFR	-1
DB01142	SLC6A2	-1
DB09089	CHRM4	-1
DB01144	CA2	-1
DB13269	SCN1A	-1
DB00839	KCNJ11	-1
DB09241	NOS1	-1
DB00241	GABRA2	1
DB00921	OPRM1	1
DB00842	GABRB3	1
DB00292	GABRA1	1
DB08814	PTGS1	-1
DB00714	DRD3	1
DB12010	MAP4K2	-1
DB00441	TYMS	-1
DB01023	CACNA1S	-1
DB08895	JAK3	-1
DB00475	GABRD	1
DB00363	HTR3A	-1
DB01092	ATP1A2	-1
DB04843	CHRM1	-1
DB00252	CACNA1A	-1
DB01238	HTR1E	-1
DB01175	SLC6A4	-1
DB01113	PDE4B	-1
DB01049	HTR2A	-1
DB00289	GRIN3A	-1
DB01148	CHRM1	-1
DB06412	AR	1
DB01018	ADRA2A	1
DB05541	SCN1A	-1
DB13746	CACNA1E	1
DB00486	CNR2	1
DB09481	GRIN2B	-1
DB00940	HRH2	-1
DB00909	CA5A	-1
DB12010	PLK1	-1
DB00248	DRD2	1
DB01234	ANXA1	1
DB08896	BRAF	-1
DB01381	GLRA1	-1
DB09119	P2RX4	-1
DB00349	GABRA1	1
DB01359	ADRB1	-1
DB00350	PTGS1	1
DB00351	PGR	1
DB11300	F8	1
DB01427	PDE3A	-1
DB01296	NFKB2	-1
DB00387	CHRM3	-1
DB00340	CHRM2	-1
DB00697	ADRA2B	1
DB13961	CACNA1C	-1
DB01151	ADRA1A	-1
DB00246	HTR2C	-1
DB12808	RARB	1
DB00619	PDGFRA	-1
DB09167	CHRM1	-1
DB01403	ADRA1A	-1
DB13998	LRP1	1
DB01024	IMPDH2	-1
DB06787	CHRM1	-1
DB11718	BRAF	-1
DB00477	ADRA1D	-1
DB01189	GABRB1	1
DB11278	ADRA1D	1
DB00398	RET	-1
DB09568	ECHS1	1
DB01611	TLR9	-1
DB00020	SDC2	1
DB00514	CHRNB4	-1
DB00255	ESR1	1
DB00240	NR3C1	1
DB07776	ESRRB	1
DB00843	GRIN2D	-1
DB01215	GABRB1	1
DB01200	HTR2C	1
DB12010	MET	-1
DB00782	CHRM1	-1
DB11124	ADRB1	1
DB00458	CHRM5	-1
DB01589	GABRB3	1
DB06262	ADRA2A	1
DB01235	DRD3	1
DB13800	CALM1	1
DB00543	ADRA1A	-1
DB01221	TACR1	-1
DB00721	SLC6A3	-1
DB00674	CHRND	1
DB00562	CA4	-1
DB00433	ADRA2A	-1
DB00599	CHRNA4	-1
DB01054	CACNA1C	-1
DB01303	ADORA2A	-1
DB06216	ADRA2C	-1
DB00472	HTR2C	-1
DB01400	ACHE	-1
DB12010	CAMK2A	-1
DB00215	SLC6A4	-1
DB12141	HTR1B	-1
DB06785	GNRHR	-1
DB00201	PDE4B	-1
DB06616	MAP2K2	-1
DB00086	PLG	1
DB00897	GABRA2	1
DB13345	HTR7	-1
DB00559	EDNRA	-1
DB01406	ESR1	1
DB13867	NR3C2	-1
DB00867	ADRB2	1
DB06205	TGFB1	-1
DB11590	FXYD2	-1
DB00691	ACE2	-1
DB00627	HCAR2	1
DB00482	PTGS2	-1
DB01016	ABCB11	-1
DB10770	PDGFRB	1
DB00518	TUBA1A	-1
DB00712	PTGS2	-1
DB09079	FGFR3	-1
DB11633	KCNJ6	-1
DB12010	EPHA4	-1
DB01353	CHRNA7	-1
DB00669	HTR1F	1
DB00217	KCNJ1	-1
DB00945	RPS6KA3	-1
DB00753	GABRA1	1
DB01028	GABRG2	1
DB00852	ADRA1A	1
DB09073	CDK6	-1
DB00917	PTGER3	1
DB00708	OPRM1	1
DB04896	GRIN3A	-1
DB09076	CHRM2	-1
DB00193	TACR1	-1
DB06152	IFNAR2	1
DB00809	CHRM3	-1
DB11496	TPO	-1
DB00794	GABRA1	1
DB10772	IL1B	1
DB00358	ADORA2A	-1
DB00764	PGR	1
DB12010	IRAK3	-1
DB01588	GABRA2	1
DB00831	DRD2	-1
DB01142	CHRM3	-1
DB01176	HRH1	-1
DB00934	CHRM1	-1
DB13269	SCN4B	-1
DB00887	CFTR	-1
DB00241	GABRB3	1
DB00953	HTR1B	1
DB08875	RET	-1
DB00714	HTR1A	1
DB12010	MAPK4	-1
DB00491	MGAM	-1
DB00363	ADRA1B	-1
DB01124	KCNJ1	-1
DB00898	GABRA1	1
DB01238	ADRA2C	-1
DB11113	PTGER4	1
DB08901	PDGFRA	-1
DB01065	MPO	-1
DB01049	ADRA2C	-1
DB00273	CACNB4	-1
DB01100	DRD2	-1
DB00922	PDE3A	-1
DB13746	CACNA1D	1
DB00924	HTR2B	-1
DB00099	CSF3R	1
DB00909	SCN1B	-1
DB12010	PIK3C2G	-1
DB00555	GABRB1	-1
DB00216	HTR1B	1
DB00605	AKR1B1	-1
DB08896	PDGFRA	-1
DB00492	ACE	-1
DB01338	CHRNA2	-1
DB00268	ADRA2B	-1
DB01238	SLC6A3	1
DB00334	ADRA1B	-1
DB06148	ADRA2A	-1
DB12698	CD4	-1
DB01325	CA2	-1
DB01367	BCL2	1
DB06712	CACNA1D	-1
DB00243	SCN4B	-1
DB01133	ATP6V1A	-1
DB00568	HRH1	-1
DB00182	ADRA2A	1
DB11273	HTR2A	-1
DB00280	SCN5A	-1
DB01336	CHRM2	-1
DB00800	DRD1	1
DB09085	SCN9A	-1
DB00654	PTGFR	1
DB00413	HTR1A	1
DB09236	CACNA1D	-1
DB00349	GABRB3	1
DB01407	NGF	1
DB09205	ADRA2A	-1
DB01577	SLC18A2	-1
DB00383	CHRM1	-1
DB11757	ADORA1	-1
DB01613	NPR2	1
DB01365	ADRA2C	1
DB00306	GABRA1	1
DB00421	NR3C2	-1
DB01278	RAMP2	1
DB00795	ALOX5	-1
DB13961	SCN1A	-1
DB00246	ADRA2B	-1
DB01136	VCAM1	-1
DB04855	ADRA2A	-1
DB11978	SMO	-1
DB13781	ADRB1	1
DB00651	PDE4D	-1
DB04840	SLC6A2	1
DB09167	ADRA1A	-1
DB00312	GRIN2B	-1
DB11571	FGA	1
DB01174	GRIN3A	-1
DB01159	KCNJ6	-1
DB01224	ADRA1A	-1
DB08901	BCR	-1
DB00998	HTR1B	1
DB01032	SLC22A8	-1
DB12267	MET	-1
DB00273	GRIK4	-1
DB06153	HTR1B	-1
DB00026	IL1R1	-1
DB00390	ATP1A1	-1
DB00812	PTGS2	-1
DB00046	INSR	1
DB00861	PTGS1	-1
DB12010	NTRK3	-1
DB00555	ADORA2A	-1
DB02638	AVPR2	1
DB00184	CHRNA5	1
DB01170	SLC6A2	1
DB11275	DRD1	1
DB00589	DRD5	-1
DB00396	ESR2	1
DB01236	GABRD	1
DB11572	FGA	1
DB00203	PDE6G	-1
DB00284	MGAM	-1
DB00334	CHRM3	-1
DB06148	HRH1	-1
DB00190	DDC	-1
DB01194	CA4	-1
DB00321	KCNQ3	-1
DB00178	ACE	-1
DB01395	AR	-1
DB06779	SERPINC1	1
DB00243	KCNJ2	-1
DB00568	CACNA1F	-1
DB01037	MAOA	-1
DB04209	CNGA1	-1
DB00182	ADRB1	1
DB00989	BCHE	-1
DB11273	HTR3A	-1
DB12010	RIPK2	-1
DB00603	ABCB1	-1
DB00280	CHRM3	-1
DB13158	NR3C1	1
DB00800	ADRA2A	-1
DB00703	CA1	-1
DB01558	GABRD	1
DB01189	GABRA1	1
DB00398	FLT4	-1
DB09302	PCSK9	-1
DB06774	TRPV1	1
DB00514	SIGMAR1	1
DB06603	HDAC8	-1
DB13166	ACE	-1
DB00191	SLC6A4	-1
DB00159	SLC8A1	-1
DB09061	HTR2A	1
DB02546	HDAC2	-1
DB00421	CACNA2D3	-1
DB00843	NFKB2	-1
DB01215	GABRA2	1
DB00408	HTR2A	-1
DB01200	ADRA2C	1
DB12010	CTSS	-1
DB00733	ACHE	1
DB09559	EGFR	-1
DB00458	ADRA1A	-1
DB06201	GRM5	-1
DB01203	ADRB1	-1
DB00543	HTR1A	-1
DB12278	CHRM1	-1
DB05271	ADRA2B	-1
DB00594	SLC9A1	-1
DB00481	ESR1	1
DB00418	GRIA2	-1
DB00824	ADORA3	-1
DB00420	DRD1	-1
DB08813	MYC	-1
DB01102	ADRB2	1
DB01351	CHRNA7	-1
DB01621	HTR2A	-1
DB06700	SLC6A4	-1
DB12010	CHEK1	-1
DB00231	GABRB3	1
DB01437	GABRG2	1
DB13345	DRD1	-1
DB00704	OPRM1	-1
DB13146	GRIA1	-1
DB00836	OPRD1	1
DB00869	CA2	-1
DB00659	GRIN3A	-1
DB04896	SLC6A4	-1
DB11691	OPRK1	-1
DB00193	SLC6A4	-1
DB13151	F13A1	1
DB09342	SCN3A	-1
DB00180	NR3C1	1
DB00715	CHRM5	-1
DB12010	HIPK2	-1
DB00327	OPRD1	1
DB01588	GABRD	1
DB00186	GABRD	1
DB09118	GABRA1	1
DB01158	ATP1A1	-1
DB01095	HMGCR	-1
DB09238	CACNA1A	-1
DB06209	P2RY12	-1
DB00935	ADRA1D	1
DB00257	HCAR2	1
DB01017	MMP9	-1
DB00308	CACNA1C	1
DB00731	PPARG	1
DB12010	MERTK	-1
DB00523	RARA	1
DB00541	TUBB	-1
DB01236	GRIA1	-1
DB00334	DRD5	-1
DB01426	SCN5A	-1
DB01241	SLC22A8	-1
DB01114	SLC6A3	-1
DB00321	KCNQ2	-1
DB01069	HRH2	-1
DB13746	CACNA1A	-1
DB12010	PRKCI	-1
DB00555	CHRM5	-1
DB01267	HTR1A	-1
DB09069	ACAA1	-1
DB00622	ADRA1B	-1
DB01558	GABRA2	1
DB00477	DRD1	-1
DB00381	CACNA1C	-1
DB15035	ERBB4	-1
DB00464	PROS1	-1
DB01393	RXRB	1
DB00499	AR	-1
DB00306	GABRB3	1
DB00421	SRD5A3	-1
DB00795	TBXAS1	-1
DB13961	NFKB2	1
DB01183	OPRD1	-1
DB05219	PDE4A	-1
DB11994	CYP3A7	-1
DB00668	ADRB2	1
DB04946	HTR2A	-1
DB00328	PPARG	1
DB00527	SCN5A	-1
DB01205	GABRA1	1
DB11901	AR	-1
DB00624	ESR1	-1
DB11093	NRXN1	1
DB06775	CPS1	1
DB00402	GABRA2	1
DB00388	ADRA1D	1
DB00939	PTGS1	-1
DB06654	MAOB	-1
DB15328	CALCRL	-1
DB01281	CD86	-1
DB12010	YES1	-1
DB11619	PGR	-1
DB00490	ADRA1A	1
DB06595	KDR	-1
DB06401	ESR1	-1
DB13144	CSF3R	1
DB01221	HTR1D	-1
DB12278	ADRA1A	-1
DB00770	PTGER1	1
DB00690	GABRA2	1
DB00642	ATIC	-1
DB00497	OPRD1	1
DB09059	AVPR2	-1
DB00418	GRIN2D	-1
DB00420	ADRA1B	-1
DB08889	PSMB5	-1
DB00696	HTR1D	1
DB08906	PGR	1
DB01373	SPTBN1	1
DB06681	CD86	-1
DB11157	KRT12	-1
DB00602	GABRB3	1
DB12010	CSNK1A1	-1
DB01185	NR3C1	-1
DB06016	HTR2A	-1
DB12141	ALK	-1
DB00572	GLRA1	-1
DB00201	PRKDC	-1
DB00929	PTGER3	1
DB01011	CYP11B1	-1
DB00805	HTR2C	-1
DB01050	PPARG	1
DB00695	CA2	-1
DB00777	ADRA1B	-1
DB00277	PDE4A	-1
DB13928	GLP1R	1
DB12010	FGFR3	-1
DB00295	OPRM1	1
DB01588	GABRA1	1
DB00734	ADRA2C	1
DB00313	SCN1A	-1
DB00170	BGLAP	1
DB08897	CHRM4	-1
DB00753	GABRG2	1
DB01110	KCNMB3	-1
DB00868	SCN5A	-1
DB09089	KCNN4	-1
DB01064	ADRB3	1
DB14597	KLKB1	-1
DB00806	ADORA2A	-1
DB12532	GAST	-1
DB00774	CA1	-1
DB09209	OPRD1	-1
DB01327	IL2	-1
DB06626	FLT1	-1
DB00841	ADRA1A	1
DB05015	HDAC3	-1
DB00810	CHRNA2	-1
DB11859	GABRA1	1
DB00244	PTGS1	-1
DB00521	ADRB2	-1
DB12010	MAP2K6	-1
DB08801	CHRM2	-1
DB00459	RXRG	1
DB00347	CACNA1G	-1
DB01174	GRIN2A	-1
DB00966	AGTR1	-1
DB00983	ADRB1	1
DB12267	ABL1	-1
DB00273	SCN9A	-1
DB01068	GABRA2	1
DB06153	HTR2A	-1
DB00009	PLG	1
DB00842	GABRG2	1
DB13746	SCN3A	1
DB00357	CYP19A1	-1
DB09213	PLAT	1
DB00029	PLG	1
DB08877	JAK2	-1
DB12010	MYLK4	-1
DB00539	ESR1	1
DB00184	CHRNA7	1
DB01138	ABCC1	-1
DB00589	DRD2	1
DB11572	F8	1
DB00253	NR3C1	1
DB01175	ADRA1D	-1
DB12147	FGFR2	-1
DB01177	TOP2A	-1
DB00321	HTR1A	-1
DB01069	DRD2	-1
DB05541	SCN4B	-1
DB09097	DRD1	1
DB12010	PRKAB1	-1
DB00248	ADRA2A	-1
DB01267	ADRA1A	-1
DB00686	FGF4	-1
DB08912	LIMK1	-1
DB00606	CA4	-1
DB00333	GRIN2D	-1
DB00334	GABRA2	-1
DB06148	DRD2	-1
DB00270	CACNA1S	-1
DB01392	KCNJ1	-1
DB01242	SLC6A2	-1
DB06151	GRIN2D	1
DB00370	HTR2C	-1
DB00242	POLE	-1
DB00243	ADRB1	-1
DB00584	ACE	-1
DB01135	CHRNA2	-1
DB00246	DRD1	-1
DB01088	PDE4B	1
DB04574	ESR2	1
DB11273	ADRA1D	-1
DB00603	GABRG2	-1
DB09099	SSTR1	1
DB00312	GABRA2	1
DB01403	DRD4	-1
DB13949	TFRC	1
DB00944	ACHE	-1
DB04948	ADRA1A	1
DB09332	PROC	1
DB00768	S100A12	-1
DB01608	ADRA2A	-1
DB00477	DRD3	-1
DB01173	GRIN3A	-1
DB06707	ADRA2B	1
DB00496	CHRM4	-1
DB06603	HDAC5	-1
DB00175	HMGCR	-1
DB00159	ACSL4	1
DB01428	PGR	-1
DB00565	CHRNA2	-1
DB09061	GLRB	1
DB00843	BCHE	1
DB01199	ACHE	-1
DB00392	CHRM2	-1
DB01200	HTR1D	1
DB12010	UGT1A1	-1
DB00716	FPR1	-1
DB04946	ADRA1A	-1
DB00458	HTR2A	-1
DB01171	MAOA	-1
DB02266	PPARG	1
DB00252	CACNA1F	-1
DB01238	HTR2C	-1
DB11130	OPRM1	1
DB01273	CHRNA3	1
DB01049	ADRB3	-1
DB06212	AVPR2	-1
DB00938	ADRB3	1
DB00454	SLC6A3	-1
DB09327	DPYD	-1
DB00924	SLC6A4	-1
DB08815	HTR7	-1
DB12010	PIM1	-1
DB00555	GABRD	-1
DB00216	HTR1E	1
DB08896	FGFR2	-1
DB05679	IL12B	-1
DB00333	OPRD1	1
DB08916	EGFR	-1
DB06148	ADRA1B	-1
DB00302	PLG	-1
DB11300	F13A1	1
DB01259	ERBB2	-1
DB06210	MPL	1
DB00370	ADRA1A	-1
DB00307	RXRB	1
DB01213	ADH1C	-1
DB01151	ADRB2	-1
DB00246	DRD3	-1
DB11273	ADRA2C	-1
DB01403	HRH1	-1
DB00960	ADRB2	1
DB04948	HTR2C	1
DB00785	CHRM1	-1
DB01625	CHRM3	-1
DB01189	GLRA1	1
DB04876	DPP4	-1
DB11605	PPARA	1
DB00592	GABRB3	1
DB04861	ADRB2	-1
DB00514	NCF4	-1
DB00368	ADRA2B	1
DB00337	MTOR	1
DB00726	SLC6A2	-1
DB09061	ADORA1	1
DB00371	GABRG2	1
DB00437	XDH	-1
DB00907	SLC6A4	-1
DB06589	PDGFRB	-1
DB05239	MAP2K1	-1
DB12010	TGFBR2	-1
DB00862	PDE6H	1
DB11274	DRD1	1
DB01623	HTR2A	-1
DB01268	CSF1R	-1
DB06202	ESR1	-1
DB00865	SLC6A3	-1
DB01288	ADRB2	1
DB00835	CHRM1	-1
DB00675	PRKCG	-1
DB00579	SLC6A3	-1
DB00450	DRD2	-1
DB00952	HTR1A	1
DB10770	FLT1	1
DB09078	FGFR1	-1
DB00696	DRD1	1
DB09079	FLT1	-1
DB11235	CHRM5	-1
DB00715	SLC6A2	-1
DB01708	GABRB3	-1
DB12010	EGFR	-1
DB01353	GABRA1	1
DB00620	NR3C1	1
DB01624	ADRA1A	-1
DB00153	CACNA1D	1
DB00945	PRKAB2	1
DB00852	ATF2	-1
DB09089	CACNB4	-1
DB00773	TOP2B	-1
DB11855	CHRM5	-1
DB01227	OPRM1	1
DB00794	GABRD	1
DB11193	TLR4	1
DB00797	HRH1	1
DB12010	LIMK1	-1
DB00393	CACNA1S	-1
DB00895	FCER1G	1
DB00266	NQO1	-1
DB00850	DRD2	-1
DB01238	DRD2	-1
DB00205	DHFR	-1
DB01224	ADRA2C	-1
DB08901	FGFR1	-1
DB01049	DRD2	-1
DB06153	ADRA1D	-1
DB00874	GRIN2D	-1
DB00454	GRIN1	-1
DB00844	OPRD1	-1
DB00893	HBA1	1
DB09082	ADRB2	1
DB12010	PAK6	-1
DB00555	DRD5	-1
DB00184	CHRNB4	1
DB00589	HTR2C	1
DB00315	HTR1B	1
DB00316	PTGS2	-1
DB01254	PDGFRB	-1
DB00334	ADRB2	-1
DB06148	ADRA2C	-1
DB00222	KCNJ1	-1
DB01392	ADRA2C	-1
DB01226	CHRNA2	-1
DB06151	GSS	1
DB00210	RARA	1
DB00243	CACNA1S	-1
DB11598	SERPINC1	1
DB01021	CA4	-1
DB11273	HTR4	-1
DB12010	SGK3	-1
DB08931	GUCY1A2	1
DB13751	NFKB1	-1
DB04842	DRD2	-1
DB00719	HRH1	-1
DB00477	ADRA1B	-1
DB11278	ADRA1B	1
DB00398	FGFR1	-1
DB09568	HSD17B10	1
DB00020	CSF2RB	1
DB00514	CHRNA4	-1
DB00223	NR3C1	1
DB00208	P2RY12	-1
DB00661	CACNA1G	-1
DB09061	TRPV1	1
DB00371	GABRA2	1
DB00421	CACNA1S	-1
DB00843	GRIN2C	-1
DB01200	HTR1B	1
DB12010	JAK1	-1
DB11124	ADRA2C	1
DB00458	CHRM4	-1
DB06262	ADRA1D	1
DB01235	DRD2	1
DB00543	HRH1	-1
DB01221	GRIN3A	-1
DB00721	HTR3A	-1
DB00562	CA2	-1
DB00433	ADRA1D	-1
DB00404	GABRG2	1
DB01036	CHRM4	-1
DB01303	PDE4A	-1
DB06216	ADRA2B	-1
DB00472	SLC6A4	-1
DB12010	CAMK1G	-1
DB12141	HTR1A	-1
DB00540	HTR2C	-1
DB06751	CACNA1C	-1
DB00201	PDE4A	-1
DB01437	GABRA2	1
DB06616	MAP2K1	-1
DB00897	GABRA1	1
DB13345	HTR6	-1
DB01382	ABCC8	1
DB13867	PLA2G4A	-1
DB11590	SLC7A11	-1
DB00691	ACE	-1
DB00627	HCAR3	1
DB01016	ABCC9	1
DB00500	PTGS1	-1
DB09078	KIT	-1
DB00712	PTGS1	-1
DB09079	FGFR2	-1
DB11633	CACNA1C	-1
DB12010	EPHA3	-1
DB01353	CHRNA4	-1
DB00669	HTR1B	1
DB00217	ADRA2C	1
DB00153	CACNB4	1
DB00737	HRH1	-1
DB13953	ESR2	1
DB00852	SLC6A3	-1
DB09073	CDK4	-1
DB00917	PTGER1	1
DB00692	ADRA1D	-1
DB04896	GRIN2D	-1
DB11823	GRIN3A	-1
DB09076	CHRM1	-1
DB00193	CHRM1	-1
DB01115	CALM1	-1
DB00809	CHRM2	-1
DB11348	NRXN1	1
DB00794	GRIK2	-1
DB00358	HBA1	-1
DB00764	NR3C1	1
DB12010	IRAK1	-1
DB00799	RARB	1
DB00395	GABRA1	1
DB01043	GRIN3A	-1
DB09118	GABRB1	1
DB01142	CHRM2	-1
DB01029	AGTR1	-1
DB01160	PTGIR	-1
DB00022	IFNAR2	1
DB00934	HRH1	-1
DB13269	SCN1B	-1
DB00887	SLC12A5	-1
DB00953	HTR1D	1
DB00292	GABRB1	1
DB08875	KDR	-1
DB00714	DRD5	1
DB12010	MAPK15	-1
DB01023	NR3C2	-1
DB00363	ADRA1A	-1
DB01124	ABCC8	-1
DB00882	ESR1	-1
DB01238	ADRA2A	-1
DB01159	GABRB1	1
DB11113	PTGER3	1
DB01240	PTGIR	1
DB08901	KDR	-1
DB01049	ADRA2B	-1
DB00273	CACNB3	-1
DB01084	HRH1	-1
DB00922	KCNJ8	1
DB13746	CACNA1C	1
DB00924	HTR2A	-1
DB00909	SCN9A	-1
DB12010	PIK3C2B	-1
DB00216	HTR1D	1
DB00605	PTGS1	-1
DB08896	KIT	-1
DB00476	SLC6A3	-1
DB01320	SCN5A	-1
DB00268	ADRA2A	-1
DB00334	ADRA1A	-1
DB01325	CA1	-1
DB01162	TGFB1	1
DB01367	MAOB	-1
DB06712	CACNB2	-1
DB00243	SCN1B	-1
DB01117	DHODH	-1
DB00552	ADA	-1
DB00182	ADRA1D	1
DB11273	HTR1F	-1
DB12010	RET	-1
DB00264	ADRB2	-1
DB01336	CHRNA2	-1
DB00800	DRD5	1
DB01558	GABRB3	1
DB00413	DRD4	1
DB01109	SERPINC1	1
DB09236	CACNA1C	-1
DB01407	ADRB3	1
DB09205	ADRA1D	-1
DB00399	FDPS	-1
DB01577	SLC6A2	-1
DB00383	CHRM3	-1
DB11757	ADORA2A	-1
DB01613	NPR1	1
DB01365	ADRA2B	1
DB00451	THRB	1
DB00306	GRIK2	-1
DB00405	HRH1	-1
DB01278	RAMP1	1
DB13961	CACNB4	-1
DB01151	CHRM5	-1
DB00246	ADRA2A	-1
DB04855	ADRA1D	-1
DB09167	ADRA2C	-1
DB00312	GRIN2A	-1
DB01436	VDR	1
DB14185	HTR2A	-1
DB11571	F13B	1
DB00477	CALM1	-1
DB04844	SLC18A2	-1
DB11323	PTGS1	-1
DB00494	COMT	-1
DB00514	CYBA	-1
DB00368	ADRA1B	1
DB00320	HTR1B	1
DB00694	TOP2B	-1
DB09061	TRPV4	1
DB00371	GABRD	1
DB00421	CACNA1G	-1
DB06589	KDR	-1
DB01216	SRD5A2	-1
DB12010	TBK1	-1
DB00846	NR3C1	1
DB11181	CHRM4	-1
DB01268	KDR	-1
DB00865	SLC18A2	1
DB00285	SLC6A2	-1
DB01175	ADRA2B	-1
DB01209	OPRM1	1
DB01049	HTR7	-1
DB00321	NTRK1	1
DB00195	ADRB2	-1
DB01069	CHRM3	-1
DB13746	CACNA1F	-1
DB00988	DRD5	1
DB09130	AHCY	1
DB00909	MAOA	-1
DB12010	PRKAG2	-1
DB00555	HRH1	-1
DB00248	DRD5	1
DB01267	HTR1D	-1
DB00751	HRH2	-1
DB09016	SLC6A4	-1
DB00622	CACNB2	-1
DB00429	PTGER1	1
DB09236	CACNA1S	-1
DB01440	GABRB1	1
DB09205	ADRA2C	-1
DB11986	NTRK1	-1
DB01365	ADRB2	1
DB06694	ADRA2A	1
DB00467	TOP2A	-1
DB00421	PGR	1
DB01348	ACE	-1
DB00795	PTGS1	-1
DB13961	SCN3A	-1
DB05039	ADRB2	1
DB00246	CHRM1	-1
DB01136	ADRA1B	-1
DB04855	ADRA2C	-1
DB11994	NR1H2	-1
DB00651	ADORA2A	-1
DB09167	ADRA1D	-1
DB00312	GRIN2D	-1
