drug	target	relation
DB01589	GABRA1	1
DB11571	FGG	1
DB00543	HTR2A	-1
DB11901	GABRD	-1
DB00656	HRH1	-1
DB00657	CHRNA2	-1
DB00401	CACNA1S	-1
DB00402	GABRD	1
DB00024	TSHR	1
DB09061	CYP3A7	-1
DB00404	GABRB1	1
DB00028	FCGR3A	-1
DB06216	DRD2	-1
DB00424	CHRM1	-1
DB12010	BMPR1B	-1
DB01057	BCHE	-1
DB11963	EGFR	-1
DB00540	ADRA1D	-1
DB06702	CHRM4	-1
DB00201	ADORA2A	-1
DB01380	NR3C1	1
DB06616	BCR	-1
DB13345	HTR3A	-1
DB00591	ANXA1	1
DB01559	GABRA2	1
DB00915	CHRNA3	-1
DB00564	SCN1A	-1
DB01033	IMPDH1	-1
DB11760	PARP1	-1
DB00630	FDPS	-1
DB09195	ADRA2C	-1
DB00777	HRH1	-1
DB09128	ADRA2C	-1
DB00131	PRKAB1	1
DB00245	SLC6A2	-1
DB12010	ERBB2	-1
DB00247	HTR7	-1
DB01452	OPRM1	1
DB06594	MTNR1A	1
DB00734	DRD3	-1
DB00281	SCN5A	-1
DB01142	HRH2	-1
DB00996	CACNA2D2	-1
DB09089	CHRM3	-1
DB01128	AR	-1
DB00839	ABCC8	-1
DB09241	GUCY1A2	-1
DB00241	GABRA1	1
DB00905	PTGER3	1
DB11859	GABRD	1
DB00292	ADRA2B	1
DB00682	VKORC1	-1
DB00829	GABRG2	1
DB12010	MAP4K1	-1
DB01744	TRPM8	1
DB01023	CACNA1D	-1
DB08895	JAK2	-1
DB00475	GABRB3	1
DB00363	HTR1E	-1
DB01092	ATP1A1	-1
DB00252	CACNB4	-1
DB01238	ADRA2B	-1
DB00237	GABRG2	1
DB11641	TUBB	-1
DB09090	CACNA1S	-1
DB01097	PTK2B	-1
DB01049	HTR1F	-1
DB00289	GRIN2D	-1
DB01148	CHRM2	-1
DB00470	CNR2	1
DB09481	GRIN2A	-1
DB00940	CHRM1	-1
DB00909	CA4	-1
DB12010	PKN2	-1
DB00232	CA4	-1
DB01234	NR0B1	1
DB08896	RAF1	-1
DB01381	PLA2G2A	-1
DB00978	TOP2A	-1
DB00333	CHRNB2	-1
DB01340	ACE	-1
DB00350	KCNJ1	1
DB00335	ADRB2	-1
DB01410	NR3C1	1
DB01296	MMP9	-1
DB00387	CHRM4	-1
DB00306	GABRA2	1
DB00340	CHRM5	-1
DB00697	ADRA2A	1
DB13961	PTGS2	-1
DB01151	HRH1	-1
DB00246	HTR1E	-1
DB11584	DRD5	1
DB00619	CSF1R	-1
DB09167	HRH1	-1
DB00312	GABRD	1
DB01403	CHRM5	-1
DB01024	IMPDH1	-1
DB11338	VCAM1	-1
DB00511	ATP1A1	-1
DB04930	SCN1A	-1
DB00624	AR	1
DB04931	MC1R	1
DB11093	CALM3	1
DB00513	PLAT	-1
DB00368	PAH	-1
DB00402	GABRA1	1
DB00726	ADRA1B	-1
DB09061	HMGCR	1
DB00388	ADRA1B	1
DB00535	MPO	-1
DB06589	SH2B3	-1
DB14864	VEGFA	-1
DB01281	CD80	-1
DB12010	WEE1	-1
DB00490	DRD4	-1
DB06595	PRKCA	-1
DB00119	ABAT	-1
DB01337	CHRM3	-1
DB06335	DPP4	-1
DB01221	HTR1B	-1
DB12278	CACNA1C	-1
DB00770	PTGER2	1
DB00690	GABRA1	1
DB00642	TYMS	-1
DB00497	OPRK1	1
DB09059	AVPR1B	-1
DB00418	GRIN2C	-1
DB09258	SERPIND1	-1
DB00420	CHRM1	-1
DB08906	NR3C1	1
DB01373	TNNC1	1
DB06655	GLP1R	1
DB11157	MAPK8IP1	1
DB12010	CSK	-1
DB01185	PRLR	-1
DB06016	HTR2B	-1
DB12141	AXL	-1
DB00572	CHRM5	-1
DB00201	PDE6B	-1
DB00153	CACNG3	1
DB00913	OPRM1	1
DB01559	GABRB1	1
DB00995	IKBKB	-1
DB12130	ALK	-1
DB00805	HTR2A	-1
DB00777	ADRA1A	-1
DB09228	KLKB1	-1
DB12010	FGFR2	-1
DB00734	ADRA2B	-1
DB00313	ALDH5A1	-1
DB00993	HPRT1	-1
DB08897	CHRM3	-1
DB01110	KCNMB2	-1
DB00852	IL2	-1
DB09089	KCNMB4	-1
DB01064	ADRB2	1
DB00806	PDE4A	-1
DB00758	P2RY12	-1
DB09209	OPRK1	-1
DB01327	IL15	-1
DB00841	ADRB2	1
DB05015	HDAC2	-1
DB00244	PTGS2	-1
DB00487	TOP2A	-1
DB00813	OPRK1	1
DB12010	MAP2K5	-1
DB00393	AHR	1
DB00975	ADA	-1
DB08801	HRH1	-1
DB00459	RXRB	1
DB00331	GPD1	-1
DB00818	GABRD	1
DB01174	GRIN1	-1
DB01159	GRIN3A	-1
DB01224	DRD1	-1
DB00950	HRH1	-1
DB00983	ADRB2	1
DB12267	EGFR	-1
DB01068	GABRA1	1
DB06153	CHRM3	-1
DB13746	SCN2A	1
DB00341	HRH1	-1
DB09213	THBD	1
DB00747	CHRM5	-1
DB00012	EPOR	1
DB08877	JAK1	-1
DB12010	MYLK3	-1
DB00184	CHRNA4	1
DB01138	ABCC2	-1
DB00396	NR3C2	-1
DB00237	GRIK2	-1
DB01175	ADRA1B	-1
DB12147	FGFR1	-1
DB01161	SLC6A3	-1
DB00321	HTR2A	-1
DB01069	HRH1	-1
DB05541	SCN1B	-1
DB00502	DRD3	-1
DB11064	AR	-1
DB00972	PLA2G1B	-1
DB09097	DRD2	1
DB00909	CA12	-1
DB12010	PRKAA2	-1
DB00248	DRD4	1
DB01267	HRH1	-1
DB11767	IL6R	-1
DB00686	FGF1	-1
DB08912	SIK1	-1
DB00606	CA2	-1
DB06077	SLC6A4	-1
DB00348	HPD	-1
DB00333	GRIN2C	-1
DB08867	NR3C1	-1
DB00334	GABRA1	-1
DB06148	HTR7	-1
DB00270	CACNA1D	-1
DB11131	TRPV1	1
DB01392	HTR2C	-1
DB01242	HTR2C	-1
DB06151	GRIN2A	1
DB00370	ADRA2A	-1
DB08439	PTGS2	-1
DB00242	POLA1	-1
DB00243	ADRA1D	-1
DB01197	LTA4H	-1
DB00246	DRD2	-1
DB01088	PDE4A	1
DB04574	ESR1	1
DB11273	ADRA1B	-1
DB00312	GABRA1	1
DB01403	DRD3	-1
DB13931	SLC6A2	-1
DB00928	DNMT1	-1
DB04948	ADRA2A	1
DB01608	DRD1	-1
DB00477	DRD5	-1
DB06707	ADRA2A	1
DB15035	TXK	-1
DB00496	CHRM2	-1
DB06603	HDAC4	-1
DB00159	FADS1	1
DB00549	CYSLTR1	-1
DB09061	GLRA1	1
DB00421	CACNG7	-1
DB00843	HTR2A	1
DB01199	HTR3A	-1
DB05260	IL1B	-1
DB00392	GRIN3A	-1
DB01200	DRD3	1
DB04855	KCNQ1	-1
DB12010	SLC29A1	-1
DB00716	CYSLTR2	-1
DB04946	HTR7	-1
DB00458	SLC6A2	-1
DB12159	IL4R	-1
DB02266	PPARA	1
DB11901	GABRB1	-1
DB00656	HTR2C	1
DB00641	HMGCR	-1
DB00402	GABRB1	1
DB09061	CYP2D6	-1
DB00583	CPT1A	1
DB06781	NR3C1	1
DB00028	FCGR2A	-1
DB06216	HTR5A	-1
DB12010	AURKB	-1
DB01022	BGLAP	1
DB05294	EGFR	-1
DB00540	HTR1A	-1
DB06684	SLC6A4	-1
DB00185	CHRM1	1
DB13345	HTR2A	-1
DB00268	DRD2	1
DB00334	CHRM2	-1
DB06148	HTR2C	-1
DB12698	CXCR4	-1
DB01595	GABRA2	1
DB09462	PPARD	1
DB01364	SLC6A2	-1
DB01194	CA1	-1
DB00321	HTR6	-1
DB01395	NR3C2	-1
DB06712	CACNA2D3	-1
DB06480	HTR4	1
DB00568	CACNA1D	-1
DB01037	MAOB	-1
DB04209	XIAP	-1
DB00182	ADRA2C	1
DB00989	ACHE	-1
DB11273	HTR2C	-1
DB12010	RIPK1	-1
DB00603	ESR1	1
DB08860	HMGCR	-1
DB00280	CHRM2	-1
DB13125	MPL	1
DB00800	ADRA2C	-1
DB00687	NR3C1	1
DB01173	SLC6A2	-1
DB00398	RAF1	-1
DB06603	HDAC7	-1
DB00191	SLC6A2	-1
DB00159	FFAR1	1
DB00629	ADRA2A	1
DB09061	HTR1A	1
DB02546	HDAC1	-1
DB00421	CACNA2D2	-1
DB00843	IL1B	-1
DB01215	GABRA1	1
DB01200	HTR1A	1
DB04855	KCNJ2	-1
DB12010	ALOX5	-1
DB04946	ADRA2C	-1
DB09330	EGFR	-1
DB00458	HRH1	-1
DB01171	MAOB	-1
DB02300	VDR	-1
DB00543	HTR3A	-1
DB12161	SLC18A2	-1
DB05271	HTR1A	1
DB00465	PTGS1	-1
DB00418	CHRNA7	-1
DB00824	ADORA2A	-1
DB00420	HTR2C	-1
DB08813	FOS	-1
DB01102	ADRB1	1
DB01351	CHRNA4	-1
DB01621	DRD1	-1
DB06700	SLC6A2	-1
DB12010	CDK4	-1
DB01169	AKT1	1
DB12141	HTR3C	-1
DB13345	ADRA2C	-1
DB00704	OPRD1	-1
DB00002	EGFR	-1
DB00836	OPRM1	1
DB00659	GRIN2D	-1
DB04880	PDE3A	-1
DB11691	OPRD1	-1
DB00193	SLC6A2	-1
DB01083	FASN	-1
DB13151	FGB	-1
DB00776	SCN5A	-1
DB09342	SCN2A	-1
DB00325	NPR1	1
DB00715	CHRM4	-1
DB12010	HCK	-1
DB00327	OPRM1	1
DB01588	GABRB3	1
DB00186	GABRB3	1
DB01043	DRD2	-1
DB04846	ADRA2C	-1
DB09238	CACNB4	-1
DB05990	NR1H4	1
DB00935	ADRA1B	1
DB00257	KCNN4	-1
DB01017	ALOX5	-1
DB09080	ADRB2	1
DB00731	ABCC8	-1
DB00829	GABRB1	1
DB12010	MATK	-1
DB00508	CHRM2	-1
DB00363	CHRM5	-1
DB01236	GLRA1	1
DB09526	TYR	-1
DB00334	DRD1	-1
DB01241	SLCO1B1	-1
DB01114	SLC6A2	-1
DB00321	HRH1	-1
DB00227	ITGAL	-1
DB01069	CALM1	-1
DB13746	CACNB4	-1
DB00925	CALM1	-1
DB09345	SCN5A	-1
DB12010	PRKCG	-1
DB00555	CHRM4	-1
DB01267	ADRA2C	1
DB09052	CD3D	1
DB00622	ADRA1A	-1
DB01558	GABRA1	1
DB00477	DRD2	-1
DB09236	CACNA1A	-1
DB01577	MAOB	-1
DB15035	ERBB2	-1
DB00464	PROC	-1
DB01393	RXRA	1
DB06710	AR	1
DB00421	SRD5A2	-1
DB00795	ACAT1	-1
DB13961	SCN4B	-1
DB01183	OPRM1	-1
DB01136	HIF1A	1
DB04855	CACNA1S	-1
DB11994	CYP3A5	-1
DB00668	ADRB1	1
DB00328	PLA2G2A	-1
DB01589	GABRG2	1
DB00543	DRD4	-1
DB00721	GRIN3A	-1
DB00674	CHRNA1	1
DB00562	CA1	-1
DB00433	ADRA1B	-1
DB01036	CHRM1	-1
DB01303	PDE3A	-1
DB06216	ADRA2A	-1
DB00440	DHFR	-1
DB12010	CAMK1D	-1
DB00183	CCKBR	1
DB12141	FLT3	-1
DB00540	CHRM5	-1
DB06751	PDE4A	-1
DB00201	PDE10A	-1
DB01437	GABRA1	1
DB06616	CDK2	-1
DB13345	HTR4	-1
DB13867	PGR	1
DB11590	MTR	-1
DB00675	MAPK8	1
DB00611	OPRM1	-1
DB09272	OPRK1	1
DB01016	KCNJ11	-1
DB10770	FGFR2	1
DB00500	PTGS2	-1
DB09078	RET	-1
DB09079	FGFR1	-1
DB12010	EPHA2	-1
DB00231	GABRD	1
DB00669	HTR1D	1
DB00217	ADRA2B	1
DB00153	CACNB3	1
DB00945	TP53	1
DB00720	SLC25A6	-1
DB13953	ESR1	1
DB00852	SLC6A2	-1
DB00917	PTGER2	1
DB00692	ADRA1B	-1
DB04896	GRIN2C	-1
DB11823	GRIN2D	-1
DB00628	GABRD	1
DB00193	CHRM3	-1
DB01115	CACNA1S	-1
DB00809	CHRM1	-1
DB04835	CCR5	-1
DB11348	CALM3	1
DB00794	GRIA2	-1
DB10772	EGFR	1
DB00748	HRH1	-1
DB12010	INSRR	-1
DB14751	IGF1R	1
DB00799	RXRB	1
DB01043	GRIN2D	-1
DB01142	CHRM1	-1
DB00107	OXTR	1
DB01012	CASR	1
DB01160	PTGFR	1
DB00022	IFNAR1	1
DB00934	SLC6A2	-1
DB13269	SCN9A	-1
DB00241	GABRB1	1
DB00937	SLC6A3	-1
DB08875	MET	-1
DB00714	HTR2C	1
DB12010	MAPK14	-1
DB08932	EDNRB	-1
DB00363	HRH4	-1
DB00252	SCN1A	-1
DB01238	HTR7	-1
DB01240	P2RY12	1
DB08901	LYN	-1
DB00091	PPP3R2	-1
DB01049	ADRA2A	-1
DB00273	CACNB2	-1
DB00922	KCNJ11	1
DB00908	ADRA1D	-1
DB00909	SCN5A	-1
DB12010	PI4KB	-1
DB00605	PTGS2	-1
DB08896	FLT4	-1
DB00476	SLC6A2	-1
DB01285	CRH	1
DB00268	ADRA1D	-1
DB00334	HRH1	-1
DB01223	HDAC2	1
DB06043	PDGFRA	-1
DB01162	ADRA1D	-1
DB00321	HTR7	-1
DB00243	SCN9A	-1
DB01117	MT-CYB	-1
DB00182	ADRA1B	1
DB00957	AR	1
DB11273	HTR1E	-1
DB12010	RAF1	-1
DB00264	ADRB1	-1
DB04841	CACNA1G	-1
DB00784	PTGS1	-1
DB09085	SCN5A	-1
DB00622	CHRM5	-1
DB00413	DRD2	1
DB01077	ATP6V1A	-1
DB09220	ABCC9	1
DB00349	GABRB1	1
DB01407	ADRB1	1
DB09205	ADRA1B	-1
DB01577	SLC6A4	-1
DB01579	ADRA1B	1
DB01365	ADRA2A	1
DB00451	THRA	1
DB00306	GRIA2	-1
DB00389	TPO	-1
DB13961	CACNB3	-1
DB01151	CHRM4	-1
DB00246	ADRA1B	-1
DB04855	ADRA1B	-1
DB00651	PDE4A	-1
DB09167	ADRA2B	-1
DB00312	GRIN1	-1
DB14185	HTR1A	1
DB11571	F13A1	1
DB00477	SMPD1	-1
DB01189	GABRG2	1
DB11278	ADRB3	1
DB00462	CHRM3	-1
DB00514	CYBB	-1
DB00368	ADRA1A	1
DB00320	HTR1D	1
DB00694	TOP2A	-1
DB09061	TRPV3	1
DB00371	GABRB3	1
DB00421	CACNA1E	-1
DB06589	FLT1	-1
DB01200	HTR7	-1
DB12010	TAOK3	-1
DB00830	SLC6A3	-1
DB11181	CHRM3	-1
DB06262	PAH	-1
DB01268	KIT	-1
DB00849	GRIK2	-1
DB00543	CHRM4	-1
DB11967	MAP2K2	-1
DB05271	DRD5	1
DB00674	CHRNA5	1
DB00824	PDE4B	-1
DB01054	CACNA2D2	-1
DB01587	GABRD	1
DB12010	CASK	-1
DB01169	CCND1	-1
DB12141	HTR2C	-1
DB00540	ADRB2	-1
DB00201	PDE3B	-1
DB01437	GABRB3	1
DB06736	PTGS2	-1
DB13345	ADRA1D	-1
DB00364	EGF	1
DB08899	AR	-1
DB06148	ADRA1A	-1
DB00286	ESR2	1
DB01392	KCNJ11	-1
DB01259	EGFR	-1
DB00370	HRH1	-1
DB00307	RXRA	1
DB01213	ADH1B	-1
DB01151	SLC6A2	-1
DB04573	ESR2	1
DB00246	HTR2A	-1
DB01088	PDE4D	1
DB11273	ADRA2B	-1
DB01403	HTR2C	-1
DB13998	PHYH	-1
DB00960	ADRB1	1
DB04948	HTR7	1
DB09332	PROS1	1
DB00785	CHRM2	-1
DB11605	NR1H4	-1
DB04861	ADRB1	-1
DB00514	NCF2	-1
DB00368	ADRA2A	1
DB00320	HTR2B	1
DB00726	SLC6A4	-1
DB09061	HTR3A	-1
DB00907	SLC6A2	-1
DB06589	PDGFRA	-1
DB01216	AKR1D1	-1
DB12010	TGFBR1	-1
DB00047	INSR	1
DB00862	PDE6G	1
DB11274	DRD2	1
DB00458	HTR1A	1
DB01623	DRD1	-1
DB01268	FLT3	-1
DB00865	ADRA1A	1
DB06204	SLC6A2	-1
DB00835	HRH1	-1
DB11186	SCN5A	-1
DB00690	GABRG2	1
DB00675	PRKCE	-1
DB00579	SLC6A2	-1
DB00952	HTR1F	1
DB10770	IL6	1
DB00452	CXCR4	-1
DB09078	FLT4	-1
DB00696	SLC6A2	-1
DB09063	ALK	-1
DB06800	OPRK1	-1
DB11235	CHRM4	-1
DB00715	SLC6A4	-1
DB12010	DYRK1B	-1
DB00201	ADORA3	-1
DB01624	DRD2	-1
DB00153	CACNA1C	1
DB00945	PRKAB1	1
DB00852	ATF1	-1
DB09089	CACNB3	-1
DB00773	TOP2A	-1
DB11855	CHRM4	-1
DB00193	GRIN3A	-1
DB00825	CACNA1S	-1
DB04941	CFTR	-1
DB11942	XPO1	-1
DB00794	GABRB3	1
DB10772	VEGFA	1
DB00797	ADRA2A	-1
DB12010	LCK	-1
DB00393	CACNA1F	-1
DB00863	ACHE	-1
DB00266	VKORC1	-1
DB01238	HTR1A	1
DB01224	ADRA2B	-1
DB08901	FLT3	-1
DB01014	ALOX5	-1
DB06709	CHRM3	1
DB01049	DRD5	-1
DB00273	CA1	-1
DB01068	GABRD	1
DB06153	ADRA1B	-1
DB00874	GRIN2C	-1
DB00844	OPRM1	-1
DB00893	HBB	1
DB09066	FSHR	1
DB12010	PAK4	-1
DB00555	DRD1	-1
DB11275	DRD4	1
DB00589	HTR2A	1
DB00283	HRH1	-1
DB00316	PTGES3	-1
DB01254	KIT	-1
DB00334	ADRB1	-1
DB06148	HTR1A	-1
DB00222	KCNJ11	-1
DB01595	GABRB1	1
DB01392	ADRA2B	-1
DB01210	ADRB1	-1
DB00210	RXRB	1
DB00243	CACNA1F	-1
DB06713	PGR	1
DB00182	MAOB	-1
DB01021	CA2	-1
DB12010	RPS6KA3	-1
DB08910	PTGS2	-1
DB13751	NFKB2	-1
DB00816	ADRB2	1
DB00477	ADRA1A	-1
DB11278	ADRA1A	1
DB00398	KIT	-1
DB09568	DGAT2	-1
DB00020	IL3RA	1
DB00514	CHRNA3	-1
DB00191	NPY	-1
DB00192	SCN5A	-1
DB00661	KCNJ11	-1
DB09061	PPARG	1
DB00371	GABRA1	1
DB00421	CACNA1F	-1
DB00843	GRIN2B	-1
DB01215	GABRG2	1
DB01200	HTR2A	1
DB12010	TYK2	-1
DB11124	ADRA2B	1
DB00458	CHRM3	-1
DB01589	GABRB1	1
DB06262	ADRA1B	1
DB01235	DRD5	1
DB00849	GABRA2	1
DB00543	ADRA2C	-1
DB01221	HTR1A	-1
DB00754	SCN5A	-1
DB00674	BCHE	-1
DB00626	A2M	-1
DB00497	OPRM1	1
DB09059	AVPR1A	-1
DB00418	GRIN2B	-1
DB00904	HTR4	1
DB09258	SERPINC1	-1
DB00420	CHRM3	-1
DB00663	NR3C1	1
DB08890	GUCY2C	1
DB01118	CACNA2D2	-1
DB09552	ATP6V1C1	-1
DB00586	PTGS1	-1
DB01656	PDE4B	-1
DB12010	CSF1R	-1
DB01185	ESR1	-1
DB06016	HTR1A	1
DB12141	HTR7	-1
DB00572	CHRM4	-1
DB00201	PDE6A	-1
DB00153	CACNG2	1
DB13345	DRD4	-1
DB11952	PIK3CD	-1
DB00805	HTR2B	-1
DB00659	GABRD	1
DB00564	SCN9A	-1
DB01050	THBD	1
DB00777	DRD4	-1
DB09228	C1S	-1
DB00131	PRKAB2	1
DB00277	PDE4B	-1
DB13155	AR	1
DB12010	FGFR1	-1
DB00279	THRB	1
DB06701	SLC6A4	-1
DB00734	ADRA2A	-1
DB00170	PROS1	1
DB00977	ESR1	1
DB08897	CHRM2	-1
DB01110	KCNMB1	-1
DB00852	JUN	-1
DB09089	KCNMB3	-1
DB01064	ADRB1	1
DB00725	CHRM3	-1
DB09209	OPRM1	-1
DB00209	CHRM1	-1
DB01297	ADRB1	-1
DB00841	ADRB1	1
DB11614	HRH1	-1
DB00228	GRIA1	-1
DB00813	OPRD1	1
DB12010	MAP2K3	-1
DB00393	NR3C2	-1
DB00975	PDE10A	-1
DB00459	RARB	1
DB00331	PRKAB1	1
DB01174	GRIK2	-1
DB01159	KCNMA1	-1
DB08827	MTTP	-1
DB00934	ADRA2C	-1
DB00967	HRH1	-1
DB12267	ALK	-1
DB00273	SCN5A	-1
DB06153	CHRM2	-1
DB14762	IL23A	-1
DB04868	KIT	-1
DB13746	SCN1A	1
DB00324	NR3C1	1
DB09213	BCL2	-1
DB00747	CHRM4	-1
DB12010	MYLK2	-1
DB01122	ACHE	-1
DB00573	PPARA	1
DB00396	ESR1	1
DB00237	GRIA2	-1
DB01175	ADRA1A	-1
DB12001	CDK6	-1
DB01161	HTR3A	-1
DB01049	HTR3C	-1
DB00321	SLC6A4	-1
DB05541	SCN9A	-1
DB11064	PGR	-1
DB00972	HRH2	-1
DB09048	TACR1	-1
DB12010	PRKAA1	-1
DB00248	HTR1D	1
DB01267	DRD2	-1
DB00686	FGF2	-1
DB08912	RAF1	-1
DB00606	CA1	-1
DB00332	CHRM3	-1
DB08882	DPP4	-1
DB00333	GRIN2B	-1
DB08867	PGR	1
DB00334	HTR1F	-1
DB01291	ADRB1	1
DB00270	CACNA2D2	-1
DB05812	CYP17A1	-1
DB01392	HTR2A	-1
DB01242	HTR2B	-1
DB06151	GRIN1	1
DB00370	HTR2A	-1
DB00242	RRM2B	-1
DB00243	ADRA1B	-1
DB01197	MMP9	-1
DB01088	PTGER1	1
DB11273	ADRA1A	-1
DB00312	GRIK2	-1
DB01403	DRD5	-1
DB13931	ROCK2	-1
DB00912	PPARG	1
DB04908	DRD4	-1
DB01591	CHRM5	-1
DB01173	GRIN1	-1
DB01576	SLC6A3	-1
DB09237	NOS2	1
DB06691	HRH1	-1
DB15035	LCK	-1
DB00496	CHRM1	-1
DB06603	HDAC3	-1
DB00159	PPARD	1
DB00843	ACHE	-1
DB01199	CHRNA2	-1
DB05260	BGLAP	-1
DB00392	CHRM1	-1
DB01200	DRD2	1
DB04855	KCNJ3	-1
DB00716	CYSLTR1	-1
DB04946	HTR6	-1
DB00394	NR3C1	1
DB00543	ADRA2A	-1
DB01205	GABRB1	1
DB00656	HTR2A	-1
DB00593	CACNA1G	-1
DB00401	CACNA1C	-1
DB09061	CYP3A5	-1
DB01003	KCNMA1	-1
DB06764	ADRA1A	1
DB00028	FCGR1A	-1
DB06216	HTR2C	-1
DB12010	AURKA	-1
DB01022	GGCX	1
DB05294	VEGFA	-1
DB11699	HTR3A	-1
DB00540	HTR2A	-1
DB00185	CHRM3	1
DB00897	GABRG2	1
DB13345	HTR1F	-1
DB01221	NOS1	-1
DB11186	SCN1A	-1
DB00675	PRKCA	-1
DB00563	DHFR	-1
DB09123	AR	-1
DB00434	CHRM1	-1
DB09477	ACE	-1
DB00436	CA1	-1
DB09045	GLP1R	1
DB00696	ADRA1D	1
DB01182	ADRB2	-1
DB06766	HRH1	-1
DB11235	CHRM1	-1
DB00231	GABRA1	1
DB01233	HTR3A	1
DB00588	NR3C2	-1
DB00201	ITPR3	-1
DB01590	MTOR	-1
DB00153	CACNA2D2	1
DB00413	ADRA2A	1
DB09236	CACNA1F	-1
DB00349	GABRD	1
DB09205	ADRA2B	-1
DB14019	TACR1	-1
DB00383	CHRM2	-1
DB11921	NR3C1	1
DB01365	ADRB1	1
DB06694	ADRA1A	1
DB00421	AR	-1
DB01278	RAMP3	1
DB00795	PTGS2	-1
DB13961	SCN2A	-1
DB00246	ADRA2C	-1
DB01136	ADRA1D	-1
DB04855	ADRA2B	-1
DB11994	NR1H3	-1
DB00651	ADORA1	-1
DB09167	ADRA1B	-1
DB00312	GRIN2C	-1
DB11571	FGB	1
DB01205	GABRD	1
DB11901	GABRB3	-1
DB00656	HTR1A	-1
DB00641	HDAC2	-1
DB00401	CACNA1D	-1
DB00402	GABRB3	1
DB00007	GNRHR	1
DB09061	CYP1A2	-1
DB00028	FCGR2C	-1
DB06216	HTR7	-1
DB01039	MMP25	-1
DB00540	ADRA1A	-1
DB01956	GRIN2B	-1
DB06702	CHRM3	-1
DB00016	EPOR	1
DB13345	HTR2C	-1
DB00591	NR3C1	1
DB01559	GABRA1	1
DB00915	CHRNA4	-1
DB06404	KLKB1	-1
DB00548	TYR	-1
DB00598	ADRA1D	-1
DB09195	ADRA2B	-1
DB09128	HTR2A	-1
DB00131	PYGL	1
DB00245	SLC6A4	-1
DB01708	AR	1
DB12010	EPHB6	-1
DB00247	HTR1A	1
DB01435	PTGS1	-1
DB06594	HTR2C	-1
DB00734	ADRA1A	-1
DB00281	SCN9A	-1
DB01142	HRH1	-1
DB09089	CHRM2	-1
DB01080	ABAT	-1
DB00823	ESR1	1
DB00241	GRIK2	-1
DB00008	IFNAR1	1
DB00905	PTGER1	1
DB00842	GABRB1	1
DB11859	GABRB3	1
DB00665	AR	-1
DB12010	MAP3K6	-1
DB00425	GABRG2	1
DB01744	TRPA1	-1
DB01023	CACNB2	-1
DB08895	JAK1	-1
DB00363	HTR1D	-1
DB01076	HDAC2	-1
DB00252	CACNB3	-1
DB01238	DRD4	-1
DB01097	AHR	1
DB01049	HTR1E	-1
DB00289	GRIN2C	-1
DB06274	OPRD1	-1
DB00986	CHRM3	-1
DB00470	CNR1	1
DB09481	GRIN1	-1
DB12010	PKN1	-1
DB00232	CA2	-1
