drug	target	relation
DB01234	NR3C1	1
DB08896	EPHA2	-1
DB01381	SLC6A2	-1
DB09071	MTNR1B	1
DB00333	CHRNA4	-1
DB00335	ADRB1	-1
DB11300	FGG	1
DB01392	HTR2B	-1
DB00387	CHRM2	-1
DB00340	CHRM4	-1
DB00648	AR	-1
DB13961	DGAT2	1
DB01151	SMPD1	-1
DB00246	HTR1D	-1
DB01104	SLC6A2	-1
DB11584	DRD1	1
DB00619	NTRK1	-1
DB09167	HTR2A	-1
DB00312	GABRB3	1
DB01403	CHRM4	-1
DB11201	PTGS2	-1
DB01205	GABRG2	-1
DB11703	BTK	-1
DB11093	CALM2	1
DB00513	PLG	-1
DB00530	EGFR	-1
DB00368	ADRB3	1
DB00385	TOP2A	-1
DB14583	NR3C1	1
DB00726	ADRA1A	-1
DB09061	CYP17A1	-1
DB00388	ADRA1A	1
DB00519	ACE	-1
DB06589	FGF1	-1
DB12010	ULK2	-1
DB00490	DRD3	-1
DB01337	CHRM2	-1
DB06287	MTOR	-1
DB12978	PDGFRB	-1
DB01357	ESR1	1
DB13867	NR3C1	1
DB00835	CHRM5	-1
DB00611	OPRD1	1
DB09272	OPRD1	-1
DB01016	ABCC8	-1
DB10770	IFNG	1
DB00484	ADRA2C	1
DB09078	PDGFRA	-1
DB00696	HTR2C	1
DB09079	PDGFRB	-1
DB01246	HRH1	-1
DB11311	CPB2	1
DB01708	GABRG2	-1
DB12010	EPHA1	-1
DB00652	SIGMAR1	1
DB00217	ADRA2A	1
DB00153	CACNB2	1
DB00945	EDNRA	-1
DB00720	SLC25A5	-1
DB01028	GABRD	1
DB00836	CALM1	-1
DB00692	ADRA1A	-1
DB04896	GRIN2B	-1
DB11823	GRIN2C	-1
DB00628	GABRB3	1
DB00193	CHRNA7	-1
DB00809	CHRM4	-1
DB11348	CALM2	1
DB00794	CHRNA7	-1
DB10772	FGF1	1
DB00732	CHRNA2	-1
DB12010	INSR	-1
DB00799	RARA	1
DB00346	ADRA1D	-1
DB01043	GRIN2C	-1
DB01142	HTR2C	-1
DB00918	HTR1D	1
DB00871	ADRB1	-1
DB00937	SLC6A2	-1
DB00842	GABRD	1
DB00714	ADRA2B	1
DB12010	MAPK13	-1
DB00457	ADRA1D	-1
DB08932	EDNRA	-1
DB00363	HRH1	-1
DB00252	SCN5A	-1
DB01238	HTR1D	-1
DB00237	GABRA2	1
DB08901	SRC	-1
DB01065	ESR1	-1
DB01049	ADRA1D	-1
DB00922	TNNC1	1
DB13746	CACNA2D3	1
DB00908	ADRA1B	-1
DB00909	SCN3A	-1
DB12010	PHKG1	-1
DB08896	KDR	-1
DB00476	SLC6A4	-1
DB01285	MC2R	1
DB00268	ADRA1B	-1
DB00334	HTR6	-1
DB01223	ADORA3	-1
DB01162	ADRA1B	-1
DB00321	ADRA1B	-1
DB06712	CACNA1C	-1
DB01101	TYMS	-1
DB06213	ADORA2A	1
DB00182	ADRA1A	1
DB00957	ESR1	1
DB11273	HTR1D	-1
DB12010	PTK2B	-1
DB00571	ADRB3	-1
DB01309	INSR	1
DB00784	PTGS2	-1
DB09085	SCN3A	-1
DB00622	CHRM4	-1
DB01558	GABRB1	1
DB00413	DRD3	1
DB01026	CYP21A2	-1
DB01407	ADRB2	1
DB09205	ADRA1A	-1
DB01577	SLC6A3	-1
DB01579	SLC6A2	-1
DB01365	ADRA1D	1
DB00306	CHRNA7	-1
DB01262	DNMT1	-1
DB13961	CACNB2	-1
DB01151	CHRM3	-1
DB00246	ADRA1A	-1
DB04855	ADRA1A	-1
DB00651	PDE4B	-1
DB09167	ADRA2A	-1
DB01403	ADRA2C	-1
DB14185	DRD2	1
DB12095	TPH2	-1
DB00477	CHRM3	-1
DB11278	ADRB2	1
DB00462	CHRM2	-1
DB00514	OPRK1	1
DB14004	IL23A	-1
DB00287	PTGFR	1
DB00304	ESR1	1
DB00678	AGTR1	-1
DB00421	CACNA1A	-1
DB01618	HTR2A	-1
DB01200	ADRA1D	1
DB00030	INSR	1
DB00830	SLC6A2	-1
DB11181	CHRM2	-1
DB06262	ADRB3	1
DB01268	FLT1	-1
DB13999	PHYH	-1
DB00849	GRIA2	-1
DB00543	CHRM3	-1
DB11967	MAP3K1	-1
DB05271	DRD4	1
DB00674	CHRNA4	1
DB00594	SCNN1G	-1
DB00449	ADRB2	1
DB00824	PDE4A	-1
DB01054	CACNA1S	-1
DB09214	PTGS2	-1
DB00504	OPRM1	1
DB12010	CAMKK2	-1
DB01169	JUN	1
DB12141	HTR2B	-1
DB00540	ADRB1	-1
DB00201	PDE3A	-1
DB00897	GABRB1	1
DB13345	ADRA1B	-1
DB00575	ADRA1A	1
DB00915	GRIN3A	-1
DB00722	REN	-1
DB00659	GABRA1	1
DB09472	CA2	-1
DB01016	CFTR	-1
DB11611	ITGAL	-1
DB00598	ADRB2	-1
DB09195	ADRA1B	-1
DB00745	ADRA1B	1
DB00131	CREB1	1
DB00245	CHRM1	-1
DB00715	HRH1	-1
DB01708	GRIN2D	1
DB12010	EPHB1	-1
DB00247	HTR2B	-1
DB01419	PTGS1	-1
DB00717	NR3C1	1
DB00233	CHUK	-1
DB01173	HRH1	-1
DB00398	BRAF	-1
DB01576	ADRA1B	-1
DB06707	ADRA2C	1
DB15566	NR3C1	1
DB00496	CHRM5	-1
DB06603	HDAC6	-1
DB00175	HDAC2	-1
DB01428	AR	-1
DB00613	HNMT	-1
DB00843	NOS1	-1
DB00408	DRD2	-1
DB01200	ADRA2A	1
DB04946	HRH1	-1
DB09280	CFTR	1
DB00458	SLC6A4	-1
DB00543	HTR2B	-1
DB05271	DRD1	1
DB00674	CHRNA7	1
DB00594	ASIC2	-1
DB00465	PTGS2	-1
DB00418	CHRNA4	-1
DB00824	ADORA1	-1
DB00420	HTR2A	-1
DB00631	POLA1	-1
DB01070	VDR	1
DB00554	PTGS1	-1
DB01621	DRD2	-1
DB12010	CDK1	-1
DB00231	GABRB1	1
DB01169	MAPK1	1
DB00540	DRD2	-1
DB00201	PDE6C	-1
DB00897	GABRD	1
DB13345	ADRA2B	-1
DB00688	PTS	-1
DB14723	NTRK3	-1
DB06789	PGR	1
DB13146	GRIN3A	-1
DB00659	GRIN2C	-1
DB04864	ACHE	-1
DB11691	OPRM1	-1
DB00193	OPRM1	1
DB13151	FGA	-1
DB00776	SCN3A	-1
DB00794	GABRA2	1
DB09342	SCN1A	-1
DB00309	TUBB1	-1
DB00715	CHRM3	-1
DB12010	GSK3B	-1
DB02709	PTGS2	-1
DB00313	HDAC2	-1
DB01043	CHRNA7	-1
DB09086	AR	-1
DB00818	GABRA2	1
DB04846	ADRA2B	-1
DB09238	CACNB3	-1
DB01224	HTR1A	-1
DB00934	ADRA1D	-1
DB13956	ESR2	1
DB11328	PROCR	-1
DB01017	IL1B	1
DB12483	PIK3CD	-1
DB01074	CPT1A	-1
DB09068	SLC6A2	-1
DB00508	CHRM1	-1
DB00363	CHRM4	-1
DB01236	GABRA1	1
DB00334	DRD2	-1
DB01175	SLC6A3	-1
DB01241	PPARA	1
DB01114	SLC6A4	-1
DB00321	ADRA2A	-1
DB00227	HMGCR	-1
DB01069	HTR2A	-1
DB13746	CACNB3	-1
DB00925	ADRA2B	-1
DB09345	SCN3A	-1
DB12010	PRKCE	-1
DB00555	CHRM3	-1
DB00248	HTR7	-1
DB01267	ADRA2B	-1
DB00751	HTR7	-1
DB09052	CD19	1
DB00461	PTGS1	-1
DB09236	CACNB4	-1
DB01577	MAOA	-1
DB15035	EGFR	-1
DB11986	JAK2	-1
DB01393	PPARG	1
DB06694	ADRA2C	1
DB08888	FN1	-1
DB00306	GABRB1	1
DB00795	SLC7A11	-1
DB13961	SCN1B	-1
DB01167	CYP51A1	-1
DB00246	CHRM5	-1
DB04855	CACNA1F	-1
DB00668	ADRA1B	1
DB09216	PTGS2	-1
DB00328	PTGS2	-1
DB11653	MC4R	1
DB00543	DRD3	-1
DB00673	TACR1	-1
DB00674	ACHE	-1
DB00433	ADRA1A	-1
DB00114	ABAT	-1
DB01036	CHRM5	-1
DB01280	POLA1	-1
DB06216	ADRA1A	-1
DB00440	TYMS	-1
DB12010	CAMK1	-1
DB01089	SLC18A2	-1
DB11995	SLC22A8	-1
DB00540	CHRM4	-1
DB06718	AR	1
DB06616	SRC	-1
DB00067	AVPR2	1
DB00623	CALM1	-1
DB01559	GABRG2	1
DB00979	CHRM1	-1
DB11952	PIK3CG	-1
DB00805	MAOA	-1
DB00659	GABRB3	1
DB01050	BCL2	1
DB00777	DRD1	-1
DB09228	C1R	-1
DB00131	PRKAA1	1
DB00277	ADORA2B	-1
DB01620	HRH4	-1
DB13139	ADRB2	1
DB01708	SIGMAR1	1
DB12010	FES	-1
DB00279	THRA	1
DB06701	SLC6A2	-1
DB00734	HRH1	-1
DB00313	HDAC9	-1
DB00170	PROC	1
DB08897	CHRM1	-1
DB00753	GABRD	1
DB01110	KCNMA1	-1
DB00852	FOS	-1
DB09089	KCNMB2	-1
DB01047	SMO	1
DB00806	ADORA1	-1
DB12332	PARP2	-1
DB00725	CHRM5	-1
DB00193	ADRA2C	1
DB01276	GLP1R	1
DB00825	CACNA1A	-1
DB12500	JAK1	-1
DB11614	PTAFR	-1
DB00228	KCNN4	-1
DB00471	CYSLTR1	-1
DB00813	OPRM1	1
DB12010	MAP2K2	-1
DB00393	CACNB4	-1
DB00959	ANXA1	1
DB00459	RARA	1
DB00298	ADRA1B	-1
DB01174	GRIA2	-1
DB01224	HTR6	-1
DB00934	ADRA2B	-1
DB00273	SCN3A	-1
DB01017	CYCS	-1
DB06153	CHRM1	-1
DB14762	IL12B	-1
DB04868	ABL1	-1
DB13503	ACHE	-1
DB00308	KCNJ11	-1
DB09213	PTGS1	-1
DB00747	CHRM3	-1
DB12010	MYLK	-1
DB00523	RXRG	1
DB09265	GLP1R	1
DB00573	PTGS1	-1
DB00396	PGR	1
DB00237	CHRNA7	-1
DB01175	HTR2A	-1
DB12001	CDK4	-1
DB00321	SLC6A2	-1
DB13746	CACNA1G	-1
DB00502	GRIN2B	-1
DB00972	HRH1	-1
DB09030	F2R	-1
DB00909	CA8	-1
DB00248	ADRA2B	-1
DB01267	HTR2A	-1
DB00670	CHRM1	-1
DB08912	BRAF	-1
DB00606	FXYD2	-1
DB01438	SCN1A	-1
DB06077	DRD2	1
DB00332	CHRM2	-1
DB08865	MET	-1
DB00333	GRIN2A	-1
DB00334	HTR1E	-1
DB01291	ADRB2	1
DB06148	OPRK1	1
DB01595	GABRD	1
DB01392	DRD3	-1
DB01242	HTR2A	-1
DB06151	GRIN2B	1
DB00354	CHRM1	-1
DB00242	RRM2	-1
DB01616	HTR1A	-1
DB00243	ADRA1A	-1
DB01197	MMP2	-1
DB11828	EGFR	-1
DB01119	CA2	-1
DB01088	PTGIR	1
DB11273	ADRB3	-1
DB12010	STK10	-1
DB00603	GABRD	-1
DB00312	GRIA2	-1
DB01403	DRD1	-1
DB13931	ROCK1	-1
DB00912	ABCC8	-1
DB04908	HTR2A	-1
DB00768	HRH2	-1
DB01591	CHRM4	-1
DB00477	HRH1	-1
DB01173	GRIN2D	-1
DB09334	MC2R	1
DB00381	SMPD1	-1
DB01576	SLC6A2	-1
DB09237	NOS3	1
DB15035	FGR	-1
DB00496	CHRM3	-1
DB06603	HDAC2	-1
DB00159	PPARG	1
DB09061	CNR2	-1
DB00811	ENPP1	-1
DB13961	PPARD	1
DB05260	ATP6V1B2	-1
DB00343	CACNA1C	-1
DB01184	DRD3	-1
DB04855	SCN5A	-1
DB12010	ADORA3	-1
DB00700	NR3C2	-1
DB04946	HTR1A	-1
DB00377	HTR3A	-1
DB14185	ADRA1B	-1
DB11817	JAK3	-1
DB00543	DRD1	-1
DB00640	ADORA1	1
DB00561	KCNK9	-1
DB09061	CAT	-1
DB00987	POLB	-1
DB00011	IFNAR1	1
DB06216	HTR2B	-1
DB12010	ALK	-1
DB01006	CYP19A1	-1
DB11635	ABCB1	-1
DB00540	SLC6A4	-1
DB00169	VDR	1
DB13345	HTR1E	-1
DB01221	BCHE	-1
DB11186	SIGMAR1	1
DB00690	GABRB1	1
DB00675	EBP	-1
DB00547	NR3C1	1
DB09123	PGR	1
DB00434	HTR2C	-1
DB00936	PTGS2	-1
DB00436	KCNMA1	1
DB08889	PSMB10	-1
DB00696	ADRA1B	1
DB01182	ADRB1	-1
DB11235	HRH1	-1
DB12010	DAPK3	-1
DB01233	HTR4	1
DB00588	PLA2G4A	-1
DB00201	ITPR2	-1
DB00945	PTGS2	-1
DB00672	ABCC8	-1
DB01028	GABRA1	1
DB06706	SLC18A2	-1
DB13146	GRIN2B	-1
DB00804	CHRM1	-1
DB00805	CHRM1	1
DB00659	GRIN1	-1
DB11577	ADRA2A	1
DB00612	ADRB2	-1
DB01067	ABCC8	-1
DB00777	CHRM4	-1
DB12010	MTOR	-1
DB01588	GABRG2	1
DB00750	SCN5A	-1
DB00313	SCN9A	-1
DB09070	ESR1	-1
DB04844	DRD2	-1
DB11323	PTGS2	-1
DB04845	TUBB3	-1
DB00514	NCF1	-1
DB00368	ADRA1D	1
DB00320	ADRA2A	1
DB00710	FDPS	-1
DB00907	SLC6A3	-1
DB12010	TEK	-1
DB00030	CPE	1
DB11181	CHRM5	-1
DB00458	SLC6A3	-1
DB01623	DRD2	-1
DB00066	FSHR	1
DB01268	FLT4	-1
DB00865	ADRA2A	1
DB01253	ADRA1A	1
DB06204	OPRM1	1
DB00819	AQP1	-1
DB11186	SCN3A	-1
DB00675	PRKCD	-1
DB00563	ATIC	-1
DB00434	CHRM3	-1
DB00952	HTR1B	1
DB09539	SREBF1	-1
DB00436	CA4	-1
DB09078	KDR	-1
DB00696	ADRA2B	1
DB09046	LEPR	1
DB01198	GABRA2	1
DB06800	OPRM1	-1
DB11235	CHRM3	-1
DB00699	ADRA1A	-1
DB01708	GABRB1	-1
DB12010	DYRK1A	-1
DB01307	INSR	1
DB00201	ADORA2B	-1
DB01624	DRD5	-1
DB00945	PRKAA2	1
DB01078	ATP1A1	-1
DB13985	SSTR1	1
DB00852	NFKB1	-1
DB09089	CACNB2	-1
DB00981	ACHE	-1
DB00757	HTR3A	-1
DB11855	CHRM3	-1
DB00193	GRIN2D	-1
DB00825	CACNA1F	-1
DB10772	TNF	1
DB00228	GABRG2	1
DB00797	ADRA1A	-1
DB12010	LATS1	-1
DB00393	CACNA1D	-1
DB00863	HRH2	-1
DB02709	AKT1	-1
DB00234	SLC6A2	-1
DB00834	NR3C1	-1
DB01159	KCNN4	-1
DB01224	ADRA2A	-1
DB08901	TEK	-1
DB01014	PTGS1	-1
DB01049	DRD1	-1
DB12498	CXCR4	-1
DB00273	CA4	-1
DB01068	GABRB3	1
DB06153	ADRA1A	-1
DB00874	GRIN2B	-1
DB00844	OPRK1	1
DB09049	OPRM1	-1
DB12010	PAK3	-1
DB00555	ADRB1	-1
DB11275	DRD3	1
DB00589	HTR2B	-1
DB08862	RAF1	1
DB01236	GABRG2	1
DB00235	PDE3A	-1
DB00284	SI	-1
DB01254	YES1	-1
DB01392	ADRA2A	-1
DB01210	ADRB2	-1
DB00210	RXRG	1
DB00243	CACNA1D	-1
DB01021	CA1	-1
DB12010	RPS6KA1	-1
DB08910	TNF	-1
DB13751	CASP3	-1
DB00800	ADRA1A	-1
DB11278	ADRA2A	1
DB00398	PDGFRB	-1
DB00514	SLC6A4	-1
DB00191	MAOB	-1
DB00176	SLC6A4	-1
DB00661	CACNA1A	-1
DB00421	CACNA1D	-1
DB00843	GRIN2A	-1
DB01200	DRD4	-1
DB12010	RPS6KA6	-1
DB00749	PTGS1	-1
DB11124	ADRA2A	1
DB00458	CHRM2	-1
DB06262	ADRA1A	1
DB01235	DRD1	1
DB00849	GABRA1	1
DB00543	ADRA2B	-1
DB01221	HTR2C	-1
DB12278	CHRM4	-1
DB00721	MAOB	-1
DB00674	CHRNB4	1
DB00626	IDE	-1
DB09059	OXTR	-1
DB00418	GRIN2A	-1
DB00904	HTR3A	-1
DB00420	CHRM2	-1
DB00586	PTGS2	-1
DB01656	PDE4A	-1
DB06716	GABRB3	1
DB01185	AR	1
DB06016	DRD2	1
DB12141	HTR6	-1
DB00572	CHRM3	-1
DB13345	DRD3	-1
DB00720	SLC25A4	-1
DB01028	GABRB3	1
DB13146	GRIA4	-1
DB00836	POMC	1
DB08868	HDAC1	-1
DB00692	ADRA2A	-1
DB04896	GRIN2A	-1
DB11823	GRIN2B	-1
DB00193	OPRD1	1
DB01115	CACNB2	-1
DB00776	SCN4B	-1
DB11348	CALM1	1
DB00794	CHRNA4	-1
DB09342	SCN9A	-1
DB00228	GABRA2	1
DB12010	IKBKE	-1
DB00344	SLC6A4	-1
DB00346	ADRA1B	-1
DB00186	GABRG2	1
DB01043	GRIN2B	-1
DB01142	HTR2B	-1
DB00070	TGFB1	-1
DB00996	KCNQ3	1
DB00918	HTR1B	1
DB13269	SCN5A	-1
DB00871	ADRB3	1
DB08814	PDE10A	-1
DB00714	ADRA2C	1
DB12010	MAPK10	-1
DB00457	ADRA1B	-1
DB08911	MAP2K2	-1
DB00475	GABRG2	1
DB00363	HTR7	-1
DB01238	DRD3	-1
DB00237	GABRA1	1
DB08901	LCK	-1
DB01065	MTNR1B	1
DB06813	TYMS	-1
DB01049	ADRA1B	-1
DB00273	CACNA1S	-1
DB00906	SLC6A1	-1
DB13746	CACNA2D2	1
DB00454	GRIN2D	-1
DB00908	ADRA1A	-1
DB00909	SCN2A	-1
DB12010	PDPK1	-1
DB08896	FLT1	-1
DB00444	TOP2A	-1
DB01269	EGFR	-1
DB00268	ADRA1A	-1
DB00334	HTR3A	-1
DB01223	ADORA1	-1
DB01162	ADRA1A	-1
DB00321	HTR2C	-1
DB00243	SCN5A	-1
DB01085	CHRM4	1
DB13943	AR	1
DB00988	SLC6A4	-1
DB00182	SLC6A2	1
DB00957	PGR	1
DB11273	HTR1B	-1
DB12010	PTK2	-1
DB00571	ADRB2	-1
DB03756	SREBF1	-1
DB01283	PTGS1	-1
DB09085	SCN2A	-1
DB00622	CHRM3	-1
DB01026	CYP17A1	-1
DB09120	TRPV1	1
DB06207	ADRA1D	-1
DB01579	ADRA1A	1
DB01365	ADRA1B	1
DB00306	CHRNA4	-1
DB00697	ADRA1D	1
DB01151	CHRM2	-1
DB00246	HRH1	-1
DB01136	ADRB2	-1
DB00635	NR3C1	1
DB09167	CHRM5	-1
DB01403	ADRA2B	-1
DB01091	SQLE	-1
DB11571	F8	1
DB06825	GNRHR	1
DB11866	SOST	-1
DB00477	CHRM1	-1
DB11278	ADRB1	1
DB00462	CHRM1	-1
DB11093	CASR	1
DB00054	ITGA2B	-1
DB00514	OPRD1	1
DB14004	IL12B	-1
DB00255	AR	-1
DB00304	PGR	1
DB00661	ADRA1D	-1
DB00371	GABRB1	1
DB01618	HTR1A	-1
DB00060	IFNAR1	1
DB06441	P2RY12	-1
DB01200	ADRA1B	-1
DB12010	TAOK1	-1
DB00814	PTGS1	-1
DB11181	CHRM1	-1
DB00458	HTR7	-1
DB06262	ADRB2	1
DB01268	PDGFRB	-1
DB00849	CHRNA7	-1
DB00543	CHRM2	-1
DB01221	OPRK1	1
DB05271	DRD3	1
DB00674	CHRNA3	1
DB00594	SCNN1B	-1
DB00449	ADRA2A	1
DB00792	HRH1	-1
DB01054	CACNA1D	-1
DB01351	GABRA2	1
DB06216	ADRB2	-1
DB09214	PTGS1	-1
DB01587	GABRB1	1
DB06282	HRH1	-1
DB12010	CAMKK1	-1
DB01169	TXNRD1	-1
DB12141	HTR2A	-1
DB00540	ADRA2C	-1
DB01956	GABRD	1
DB01437	GABRB1	1
DB13345	ADRA1A	-1
DB00575	ADRA2C	1
DB01406	CCL2	-1
DB00899	OPRK1	1
DB11672	ABCC5	-1
DB00722	ACE	-1
DB00723	ADRA1B	1
DB00498	VKORC1	-1
DB01016	CPT1A	-1
DB00598	ADRB1	-1
DB09195	ADRA1A	-1
DB00745	SLC6A3	-1
DB09079	SRC	-1
DB11633	SCN5A	-1
DB01708	GRIN2C	1
DB12010	EPHA8	-1
DB01401	PTGS2	-1
DB00717	AR	1
DB00233	PTGS2	-1
DB01626	MAOA	-1
DB00018	IFNAR1	1
DB01062	CHRM3	-1
DB00852	ADRB1	1
DB09089	CACNA1F	-1
DB00949	GRIN2B	-1
DB00193	GRIN2A	-1
DB01179	TUBB	-1
DB06176	HDAC6	-1
DB13874	IDH2	-1
DB00825	OPRK1	1
DB11793	PARP2	-1
DB10772	PDGFRA	1
DB00228	GABRD	1
DB00391	DRD2	-1
DB00780	ABAT	-1
DB12010	JAK3	-1
DB00376	CHRM4	-1
DB00014	LHCGR	1
DB02709	CBR1	-1
DB00411	CHRM1	1
DB00202	CHRM2	1
DB00543	CHRM1	-1
DB01205	GABRB3	1
DB00656	SLC6A4	-1
DB00641	ITGAL	-1
DB00401	CACNB2	-1
DB08828	SMO	-1
DB09061	SOD1	-1
DB01019	CHRM2	1
DB00028	FCGR2B	-1
DB06216	HTR6	-1
DB12010	AXL	-1
DB01039	PPARA	1
DB05294	TEK	-1
DB00540	HRH1	-1
DB01956	GLRA1	1
DB06684	HTR1A	1
DB00201	ADORA1	-1
DB13345	HTR2B	-1
DB00575	ADRA1D	1
DB00915	DRD2	1
DB06404	C1S	-1
DB00755	RXRG	1
DB00740	SLC7A11	1
DB00548	SRD5A2	-1
DB01033	HPRT1	-1
DB00598	ADRA1B	-1
DB09195	ADRA2A	-1
DB09128	DRD2	1
DB00245	HRH1	-1
DB12010	EPHB4	-1
DB00247	HTR2A	-1
DB01435	PTGS2	-1
DB00734	DRD2	-1
DB09089	CHRM1	-1
DB01080	GABBR1	1
DB00854	OPRK1	1
DB00823	PGR	1
DB00241	GRIA2	-1
DB06711	ADRA1A	1
DB00008	IFNAR2	1
DB00905	PTGFR	1
DB13170	GUCY1A2	1
DB00633	ADRA2A	1
DB00829	GABRB3	1
DB12010	MAP3K4	-1
DB01744	TRPV3	1
DB00475	GABRB1	1
DB00363	HTR1B	-1
DB01076	AHR	1
DB00252	CACNB2	-1
DB01238	DRD1	-1
DB11591	HRH1	-1
DB09074	PARP2	-1
DB01097	DHODH	-1
DB01049	HTR1D	-1
DB00289	GRIN2B	-1
DB06274	OPRK1	-1
DB00986	CHRM1	-1
DB09369	ESR1	1
DB00924	TLR4	-1
DB00909	CA2	-1
DB12010	PKMYT1	-1
DB00555	GABRG2	-1
DB00232	CA1	-1
DB08896	NTRK1	-1
DB00962	GABRA1	1
DB09071	MTNR1A	1
DB00333	CHRNA3	-1
DB08936	HRH1	-1
DB00334	GABRG2	-1
DB00318	OPRD1	1
DB11300	FGB	1
DB01392	KCNJ8	-1
DB01275	HIF1A	1
DB00387	CHRM1	-1
DB00290	LIG3	-1
DB00340	CHRM1	-1
DB01229	BCL2	-1
DB00246	HTR1B	-1
DB01104	SIGMAR1	-1
DB12371	S1PR5	1
DB00619	RET	-1
DB09167	HTR1A	-1
DB01403	CHRM3	-1
DB00960	ADRB3	1
DB11201	PTGS1	-1
DB00785	CHRM5	-1
DB11093	CALM1	1
DB00495	TERT	-1
DB00514	SLC6A2	-1
DB00368	ADRB2	1
DB14583	AR	1
DB00726	HTR1A	-1
DB09061	ACAT1	-1
DB00501	HRH2	-1
DB00907	CHRM2	-1
DB06589	ITK	-1
DB05332	MPL	1
DB12010	ULK1	-1
DB00910	VDR	1
DB00490	DRD2	-1
DB01337	CHRNA2	-1
DB12978	FLT3	-1
DB01339	CHRNA2	-1
DB06204	SLC6A4	-1
DB00835	CHRM4	-1
DB11186	OPRM1	-1
DB00675	PRKCZ	-1
DB00611	OPRK1	1
DB09272	OPRM1	1
DB00984	AR	1
DB10770	FGF1	1
DB00484	ADRA2B	1
DB09078	FGFR4	-1
DB00696	HTR1F	1
DB09079	PDGFRA	-1
DB01214	ADRB1	-1
DB00181	GABBR2	1
DB11311	F13A1	1
DB12010	EIF2AK4	-1
DB00652	OPRK1	1
DB01624	HRH1	-1
DB00945	PRKAG3	1
DB00753	GABRB3	1
DB01110	NOS2	-1
DB00852	ATF6	-1
DB09089	KCNMB1	-1
DB01047	NR3C1	1
DB00806	PDE4B	-1
DB12332	PARP1	-1
DB00725	CHRM4	-1
DB00193	ADRA2B	1
DB01260	NR3C1	1
DB00825	CACNB4	-1
DB05015	HDAC1	-1
DB12500	FLT3	-1
DB00794	GABRG2	1
DB11581	BCL2	-1
DB00228	GLRB	1
DB00455	HRH1	-1
DB12010	LYN	-1
DB00393	CACNB3	-1
DB00959	NR3C1	1
DB00459	RXRA	1
DB00298	ADRA1D	-1
DB00818	GABRB1	1
DB01174	CHRNA7	-1
DB00934	ADRA2A	-1
DB06271	SERPINC1	1
DB11988	MS4A1	-1
DB00273	SCN2A	-1
DB01599	ABCA1	-1
DB01017	CASP3	-1
DB09213	PTGS2	-1
DB00747	CHRM2	-1
DB08816	P2RY12	-1
DB12010	MUSK	-1
DB00523	RXRB	1
DB01106	HRH1	-1
DB00573	PTGS2	-1
DB00379	AHR	1
DB01236	GABRA2	1
DB11071	PTGS2	-1
DB00237	CHRNA4	-1
DB01175	HTR1A	-1
DB00126	PLOD1	1
DB01161	GRIN3A	-1
